"CSV Pricing","CSV Pricing"
"Something went wrong while saving the data","Something went wrong while saving the data"
"File Uploaded Successfully.","File Uploaded Successfully."
"CSV File","CSV File"
"Browse Files...","Browse Files..."
Remove,Remove
"Upload CSV File","Upload CSV File"
"Remove CSV File","Remove CSV File"
Price,Price
"We could not detect a size.","We could not detect a size."
"MageArray Extensions","MageArray Extensions"
"General Options","General Options"
"Enable CSV Pricing Module","Enable CSV Pricing Module"
"Row Label","Row Label"
"Column Label","Column Label"
"Price Min","Price Min"
"Include Base Price","Include Base Price"
"Display as a dropdown","Display as a dropdown"
"Display all range value","Display all range value"
"CSV Delimiter","CSV Delimiter"
"Max Error","Max Error"
"Min Error","Min Error"
"Not Found Size","Not Found Size"
